Filename,CurrentPath,SizeBytes,SizeMB,DuplicateStatus,DuplicateOf
BIG HOUS-RAIN.jpg,images2/BIG HOUS-RAIN.jpg,518735,0.49,exact duplicate (byte-identical),images/bighouse-rain.jpg;images/hero-alt-bighouse-rain.jpg
shower area.jpeg,images2/shower area.jpeg,517040,0.49,no duplicate found,
MAIR-DIETA-MELISSA.jpg,images2/MAIR-DIETA-MELISSA.jpg,489398,0.47,no duplicate found,
retreat view.jpeg,images2/retreat view.jpeg,483086,0.46,exact duplicate (byte-identical),images2/dreamglade-lake-tambo-view.jpeg
lake-tambo3.jpg,images/lake-tambo3.jpg,480348,0.46,exact duplicate (byte-identical),images2/LAKE - TAMBO3.jpg
LAKE VIEW- TAMBO 3.jpg,images2/LAKE VIEW- TAMBO 3.jpg,476519,0.45,exact duplicate (byte-identical),images2/MALOKA-BIGHOUSE-DESS.jpg
MALOKA-BIGHOUSE-DESS.jpg,images2/MALOKA-BIGHOUSE-DESS.jpg,476519,0.45,exact duplicate (byte-identical),images2/LAKE VIEW- TAMBO 3.jpg
overview-lake-tambo5.jpg,images/overview-lake-tambo5.jpg,475564,0.45,exact duplicate (byte-identical),images/hero-alt-overview.jpg;images/placeholder-hero-lake.jpg;images2/Overview lake - tambo5.jpg
placeholder-hero-lake.jpg,images/placeholder-hero-lake.jpg,475564,0.45,exact duplicate (byte-identical),images/hero-alt-overview.jpg;images/overview-lake-tambo5.jpg;images2/Overview lake - tambo5.jpg
Overview lake - tambo5.jpg,images2/Overview lake - tambo5.jpg,475564,0.45,exact duplicate (byte-identical),images/hero-alt-overview.jpg;images/overview-lake-tambo5.jpg;images/placeholder-hero-lake.jpg
jungle-jeff.jpg,images/jungle-jeff.jpg,466128,0.44,exact duplicate (byte-identical),images/jungle-sun.jpg;images2/IMG-20240708-WA0035.jpg;images2/JUNGLE-JEFF.jpg
jungle-sun.jpg,images/jungle-sun.jpg,466128,0.44,exact duplicate (byte-identical),images/jungle-jeff.jpg;images2/IMG-20240708-WA0035.jpg;images2/JUNGLE-JEFF.jpg
IMG-20240708-WA0035.jpg,images2/IMG-20240708-WA0035.jpg,466128,0.44,exact duplicate (byte-identical),images/jungle-jeff.jpg;images/jungle-sun.jpg;images2/JUNGLE-JEFF.jpg
JUNGLE-JEFF.jpg,images2/JUNGLE-JEFF.jpg,466128,0.44,exact duplicate (byte-identical),images/jungle-jeff.jpg;images/jungle-sun.jpg;images2/IMG-20240708-WA0035.jpg
LAKE3-DESS.jpg,images2/LAKE3-DESS.jpg,464977,0.44,no duplicate found,
MANTAS-LIDIARAUL-KENTA.jpg,images2/MANTAS-LIDIARAUL-KENTA.jpg,461756,0.44,no duplicate found,
tambo6.jpg,images2/tambo6.jpg,454667,0.43,exact duplicate (byte-identical),images2/overview TAMBO6_7.jpg
overview TAMBO6_7.jpg,images2/overview TAMBO6_7.jpg,454667,0.43,exact duplicate (byte-identical),images2/tambo6.jpg
TAJIN-KENTA.jpg,images2/TAJIN-KENTA.jpg,448618,0.43,no duplicate found,
TAMBO-JESSICA.jpg,images2/TAMBO-JESSICA.jpg,436941,0.42,no duplicate found,
MALOKA - JONH IRISH.jpg,images2/MALOKA - JONH IRISH.jpg,431005,0.41,no duplicate found,
BAÑOMALOKA-REMI.jpg,images2/BAÑOMALOKA-REMI.jpg,429573,0.41,no duplicate found,
people-raul-domi.jpg,images/people-raul-domi.jpg,429496,0.41,exact duplicate (byte-identical),images2/Guest - RAUL_DOMI.jpg
Guest - RAUL_DOMI.jpg,images2/Guest - RAUL_DOMI.jpg,429496,0.41,exact duplicate (byte-identical),images/people-raul-domi.jpg
outside single tambo pic.jpeg,images2/outside single tambo pic.jpeg,420331,0.40,exact duplicate (byte-identical),images2/dreamglade-outside-single-tambo.jpeg
IMG-20240801-WA0010.jpg,images2/IMG-20240801-WA0010.jpg,401826,0.38,no duplicate found,
IMG-20240801-WA0012.jpg,images2/IMG-20240801-WA0012.jpg,399183,0.38,no duplicate found,
lakeview-tambo4.jpg,images/lakeview-tambo4.jpg,388676,0.37,exact duplicate (byte-identical),images/placeholder-tambo-lakeview.jpg;images2/LAKEVIEW TAMBO4.jpg
placeholder-tambo-lakeview.jpg,images/placeholder-tambo-lakeview.jpg,388676,0.37,exact duplicate (byte-identical),images/lakeview-tambo4.jpg;images2/LAKEVIEW TAMBO4.jpg
LAKEVIEW TAMBO4.jpg,images2/LAKEVIEW TAMBO4.jpg,388676,0.37,exact duplicate (byte-identical),images/lakeview-tambo4.jpg;images/placeholder-tambo-lakeview.jpg
LAKE2-DESS.jpg,images2/LAKE2-DESS.jpg,386016,0.37,exact duplicate (byte-identical),images2/IMG-20240708-WA0016.jpg
IMG-20240708-WA0016.jpg,images2/IMG-20240708-WA0016.jpg,386016,0.37,exact duplicate (byte-identical),images2/LAKE2-DESS.jpg
IMG-20240801-WA0017.jpg,images2/IMG-20240801-WA0017.jpg,379937,0.36,no duplicate found,
overview LAKE.jpg,images2/overview LAKE.jpg,377377,0.36,exact duplicate (byte-identical),images/lake-overview.jpg
placeholder-bridge-overview.jpg,images/placeholder-bridge-overview.jpg,376110,0.36,exact duplicate (byte-identical),images/bridge-overview.jpg;images2/overview Bridge_.jpg
overview Bridge_.jpg,images2/overview Bridge_.jpg,376110,0.36,exact duplicate (byte-identical),images/bridge-overview.jpg;images/placeholder-bridge-overview.jpg
property-bighouse-overview.jpg,images/property-bighouse-overview.jpg,369809,0.35,exact duplicate (byte-identical),images2/overview - BIG HOUSE_.jpg
overview - BIG HOUSE_.jpg,images2/overview - BIG HOUSE_.jpg,369809,0.35,exact duplicate (byte-identical),images/property-bighouse-overview.jpg
IMG-20250603-WA0021.jpg,images2/IMG-20250603-WA0021.jpg,366824,0.35,no duplicate found,
deck-rockingchairs.jpg,images/deck-rockingchairs.jpg,364483,0.35,exact duplicate (byte-identical),images2/DECK-MALOKA-REMI.jpg
hero-alt-mapacho.jpg,images/hero-alt-mapacho.jpg,364087,0.35,exact duplicate (byte-identical),images/mapacho-mainhouse.jpg;images/placeholder-main-house.jpg;images2/MAIN HOUSE.jpg;images2/BIGHOUSE-KENTA.jpg
placeholder-main-house.jpg,images/placeholder-main-house.jpg,364087,0.35,exact duplicate (byte-identical),images/hero-alt-mapacho.jpg;images/mapacho-mainhouse.jpg;images2/MAIN HOUSE.jpg;images2/BIGHOUSE-KENTA.jpg
MAIN HOUSE.jpg,images2/MAIN HOUSE.jpg,364087,0.35,exact duplicate (byte-identical),images/hero-alt-mapacho.jpg;images/mapacho-mainhouse.jpg;images/placeholder-main-house.jpg;images2/BIGHOUSE-KENTA.jpg
IMG-20250430-WA0001.jpg,images2/IMG-20250430-WA0001.jpg,356348,0.34,no duplicate found,
NS1.jpg,images2/NS1.jpg,342308,0.33,no duplicate found,
IMG-20240801-WA0007.jpg,images2/IMG-20240801-WA0007.jpg,342037,0.33,no duplicate found,
TAJIN-VALENTINA-BRIDGE-REMI.jpg,images2/TAJIN-VALENTINA-BRIDGE-REMI.jpg,341157,0.33,no duplicate found,
TRAMPOLIN-ERIN.jpg,images2/TRAMPOLIN-ERIN.jpg,328111,0.31,exact duplicate (byte-identical),images2/IMG-20240708-WA0067.jpg
IMG-20240708-WA0067.jpg,images2/IMG-20240708-WA0067.jpg,328111,0.31,exact duplicate (byte-identical),images2/TRAMPOLIN-ERIN.jpg
TAMBO 2-3.jpg,images2/TAMBO 2-3.jpg,321227,0.31,no duplicate found,
puente.jpg,images/puente.jpg,315886,0.30,exact duplicate (byte-identical),images/placeholder-bridge.jpg;images/bridge.jpg;images2/PUENTE.jpg
placeholder-bridge.jpg,images/placeholder-bridge.jpg,315886,0.30,exact duplicate (byte-identical),images/puente.jpg;images/bridge.jpg;images2/PUENTE.jpg
bridge.jpg,images/bridge.jpg,315886,0.30,exact duplicate (byte-identical),images/puente.jpg;images/placeholder-bridge.jpg;images2/PUENTE.jpg
PUENTE.jpg,images2/PUENTE.jpg,315886,0.30,exact duplicate (byte-identical),images/puente.jpg;images/placeholder-bridge.jpg;images/bridge.jpg
lake-rightside.jpg,images/lake-rightside.jpg,312934,0.30,exact duplicate (byte-identical),images2/rightsideLAKE.jpg
rightsideLAKE.jpg,images2/rightsideLAKE.jpg,312934,0.30,exact duplicate (byte-identical),images/lake-rightside.jpg
placeholder-solar.jpg,images/placeholder-solar.jpg,310892,0.30,exact duplicate (byte-identical),images/solar.jpg;images2/SOLAR PANELS.jpg
SOLAR PANELS.jpg,images2/SOLAR PANELS.jpg,310892,0.30,exact duplicate (byte-identical),images/placeholder-solar.jpg;images/solar.jpg
people-clarisa-mapacho.jpg,images/people-clarisa-mapacho.jpg,309851,0.30,exact duplicate (byte-identical),images2/MAPACHO-CLARISA.jpg
MAPACHO-CLARISA.jpg,images2/MAPACHO-CLARISA.jpg,309851,0.30,exact duplicate (byte-identical),images/people-clarisa-mapacho.jpg
IMG-20240801-WA0006.jpg,images2/IMG-20240801-WA0006.jpg,302935,0.29,no duplicate found,
placeholder-lake-side.jpg,images/placeholder-lake-side.jpg,301529,0.29,exact duplicate (byte-identical),images/lake-leftside.jpg;images2/Lake - Left side_.jpg
lake-leftside.jpg,images/lake-leftside.jpg,301529,0.29,exact duplicate (byte-identical),images/placeholder-lake-side.jpg;images2/Lake - Left side_.jpg
Lake - Left side_.jpg,images2/Lake - Left side_.jpg,301529,0.29,exact duplicate (byte-identical),images/placeholder-lake-side.jpg;images/lake-leftside.jpg
communal tambo inside.jpeg,images2/communal tambo inside.jpeg,299119,0.29,exact duplicate (byte-identical),images2/dreamglade-communal-tambo-inside.jpeg;images2/communal tambo.jpeg
communal tambo.jpeg,images2/communal tambo.jpeg,299119,0.29,exact duplicate (byte-identical),images2/dreamglade-communal-tambo-inside.jpeg;images2/communal tambo inside.jpeg
IMG-20240708-WA0041.jpg,images2/IMG-20240708-WA0041.jpg,290724,0.28,exact duplicate (byte-identical),images2/bighouse-WILLIAM.jpg
bighouse-WILLIAM.jpg,images2/bighouse-WILLIAM.jpg,290724,0.28,exact duplicate (byte-identical),images2/IMG-20240708-WA0041.jpg
IMG-20240801-WA0014.jpg,images2/IMG-20240801-WA0014.jpg,284240,0.27,no duplicate found,
IMG-20250603-WA0022.jpg,images2/IMG-20250603-WA0022.jpg,282619,0.27,no duplicate found,
Valentina_.jpg,images2/Valentina_.jpg,277629,0.26,no duplicate found,
tambo-screened.jpg,images/tambo-screened.jpg,263060,0.25,exact duplicate (byte-identical),images2/MAPACHO2-CLARISA.jpg
MAPACHO2-CLARISA.jpg,images2/MAPACHO2-CLARISA.jpg,263060,0.25,exact duplicate (byte-identical),images/tambo-screened.jpg
GRUPO 25.jpg,images2/GRUPO 25.jpg,256064,0.24,no duplicate found,
tambo7-bed.jpg,images/tambo7-bed.jpg,252655,0.24,exact duplicate (byte-identical),images2/TAMBOINSEDE-JEFF.jpg;images2/TAMBO7 BED-.jpg
TAMBOINSEDE-JEFF.jpg,images2/TAMBOINSEDE-JEFF.jpg,252655,0.24,exact duplicate (byte-identical),images/tambo7-bed.jpg;images2/TAMBO7 BED-.jpg
TAMBO7 BED-.jpg,images2/TAMBO7 BED-.jpg,252655,0.24,exact duplicate (byte-identical),images/tambo7-bed.jpg;images2/TAMBOINSEDE-JEFF.jpg
TRAMPOLINE.jpg,images2/TRAMPOLINE.jpg,249487,0.24,no duplicate found,
private tambo.jpeg,images2/private tambo.jpeg,247010,0.24,exact duplicate (byte-identical),images2/single tambo inside.jpeg;images2/dreamglade-single-tambo-inside.jpeg
single tambo inside.jpeg,images2/single tambo inside.jpeg,247010,0.24,exact duplicate (byte-identical),images2/private tambo.jpeg;images2/dreamglade-single-tambo-inside.jpeg
placeholder-bobinsana.jpg,images/placeholder-bobinsana.jpg,246254,0.23,exact duplicate (byte-identical),images/bobinsana-flower.jpg;images2/Bobinsana Flower.jpg
Bobinsana Flower.jpg,images2/Bobinsana Flower.jpg,246254,0.23,exact duplicate (byte-identical),images/bobinsana-flower.jpg;images/placeholder-bobinsana.jpg
TRAMPOLIN-WILLIAM.jpg,images2/TRAMPOLIN-WILLIAM.jpg,241233,0.23,exact duplicate (byte-identical),images/trampoline-pillows.jpg
property-overview.jpg,images/property-overview.jpg,229207,0.22,exact duplicate (byte-identical),images2/OVERVIEW.jpg
OVERVIEW.jpg,images2/OVERVIEW.jpg,229207,0.22,exact duplicate (byte-identical),images/property-overview.jpg
MANWALKIN-ERIN.jpg,images2/MANWALKIN-ERIN.jpg,222465,0.21,no duplicate found,
corredor.jpg,images/corredor.jpg,221861,0.21,exact duplicate (byte-identical),images/corredor-william.jpg;images2/CORREDOR-WILLIAM.jpg;images2/IMG-20240708-WA0039.jpg
corredor-william.jpg,images/corredor-william.jpg,221861,0.21,exact duplicate (byte-identical),images/corredor.jpg;images2/CORREDOR-WILLIAM.jpg;images2/IMG-20240708-WA0039.jpg
IMG-20240708-WA0039.jpg,images2/IMG-20240708-WA0039.jpg,221861,0.21,exact duplicate (byte-identical),images/corredor.jpg;images/corredor-william.jpg;images2/CORREDOR-WILLIAM.jpg
GRUPO25FAB.jpg,images2/GRUPO25FAB.jpg,221763,0.21,no duplicate found,
lake-main.jpg,images/lake-main.jpg,206879,0.20,exact duplicate (byte-identical),images2/LAKE_.jpg
LAKE_.jpg,images2/LAKE_.jpg,206879,0.20,exact duplicate (byte-identical),images/lake-main.jpg
double tambo inside.jpeg,images2/double tambo inside.jpeg,199034,0.19,exact duplicate (byte-identical),images2/dreamglade-double-tambo-inside.jpeg;images2/inside double tambo.jpeg
inside double tambo.jpeg,images2/inside double tambo.jpeg,199034,0.19,exact duplicate (byte-identical),images2/dreamglade-double-tambo-inside.jpeg;images2/double tambo inside.jpeg
shower view.jpeg,images2/shower view.jpeg,179276,0.17,no duplicate found,
people-raul-website.jpg,images/people-raul-website.jpg,178708,0.17,exact duplicate (byte-identical),images2/RAUL WEBSITE PLANT BATH.jpg
RAUL WEBSITE PLANT BATH.jpg,images2/RAUL WEBSITE PLANT BATH.jpg,178708,0.17,exact duplicate (byte-identical),images/people-raul-website.jpg
cat-max.jpg,images/cat-max.jpg,163813,0.16,exact duplicate (byte-identical),images2/CAT MAX.jpg
CAT MAX.jpg,images2/CAT MAX.jpg,163813,0.16,exact duplicate (byte-identical),images/cat-max.jpg
tajin-deck.jpg,images/tajin-deck.jpg,158804,0.15,exact duplicate (byte-identical),images2/TAJIN6.jpg
TAJIN6.jpg,images2/TAJIN6.jpg,158804,0.15,exact duplicate (byte-identical),images/tajin-deck.jpg
HANDPANF.jpg,images2/HANDPANF.jpg,157856,0.15,no duplicate found,
KAMBO CLARA.jpg,images2/KAMBO CLARA.jpg,157559,0.15,no duplicate found,
